city,year,weekofyear,total_cases
sj,2008,18,12
sj,2008,19,12
sj,2008,20,12
sj,2008,21,13
sj,2008,22,14
sj,2008,23,15
sj,2008,24,14
sj,2008,25,15
sj,2008,26,22
sj,2008,27,21
sj,2008,28,23
sj,2008,29,22
sj,2008,30,29
sj,2008,31,34
sj,2008,32,37
sj,2008,33,43
sj,2008,34,31
sj,2008,35,43
sj,2008,36,61
sj,2008,37,45
sj,2008,38,37
sj,2008,39,19
sj,2008,40,19
sj,2008,41,32
sj,2008,42,19
sj,2008,43,20
sj,2008,44,25
sj,2008,45,21
sj,2008,46,21
sj,2008,47,21
sj,2008,48,20
sj,2008,49,16
sj,2008,50,16
sj,2008,51,19
sj,2008,52,16
sj,2009,1,14
sj,2009,2,15
sj,2009,3,16
sj,2009,4,15
sj,2009,5,15
sj,2009,6,14
sj,2009,7,14
sj,2009,8,14
sj,2009,9,13
sj,2009,10,12
sj,2009,11,12
sj,2009,12,12
sj,2009,13,12
sj,2009,14,12
sj,2009,15,12
sj,2009,16,12
sj,2009,17,12
sj,2009,18,12
sj,2009,19,12
sj,2009,20,13
sj,2009,21,12
sj,2009,22,14
sj,2009,23,14
sj,2009,24,15
sj,2009,25,16
sj,2009,26,15
sj,2009,27,20
sj,2009,28,32
sj,2009,29,28
sj,2009,30,32
sj,2009,31,39
sj,2009,32,39
sj,2009,33,39
sj,2009,34,37
sj,2009,35,33
sj,2009,36,46
sj,2009,37,24
sj,2009,38,32
sj,2009,39,35
sj,2009,40,46
sj,2009,41,51
sj,2009,42,46
sj,2009,43,39
sj,2009,44,31
sj,2009,45,25
sj,2009,46,20
sj,2009,47,20
sj,2009,48,20
sj,2009,49,21
sj,2009,50,23
sj,2009,51,21
sj,2009,52,19
sj,2010,53,16
sj,2010,1,15
sj,2010,2,15
sj,2010,3,14
sj,2010,4,15
sj,2010,5,15
sj,2010,6,14
sj,2010,7,14
sj,2010,8,14
sj,2010,9,15
sj,2010,10,12
